Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Dufferin Reservoir,35000800,Other-Public Services,635
Edenbridge Sewage Blower,35000801,Other-Public Services,1
Stormwater Storage Tank,35000814,Other-Public Services,1
Whitlam Tank,35000815,Other-Public Services,1
Spadina St Clair Reservoir,35000812,Other-Public Services,678
Steelcase Rd,35000813,Other-Public Services,1
Service Chambers,35000810,Other-Public Services,48
Sewer System Chamber,35000811,Other-Public Services,1
Rosehill Reservoir,35000808,Other-Public Services,2023
Rouge Water Tank & Valve House,35000809,Other-Public Services,2142
#43 Police Division,59463393,Public Safety,55444
FIRE STATION 331,59463292,Public Safety,10979
Clarence Park Encampment Trailer,35490439,Other-Public Services,1
229 Richmond St. W,34999094,Administrative / Office,1
2340 Dundas St W (Crossways),34999095,Administrative / Office,1
2118 Danforth Ave - Ward 19 Office,34999092,Administrative / Office,1
2141 Kipling Ave - Ward 1 Office,34999093,Administrative / Office,1
18 Dyas Rd.,34999090,Administrative / Office,73927
2 Civic Centre Court,34999091,Administrative / Office,46145
175 Memorial Park Ave,34999089,Administrative / Office,6394
Archives and Records Centre,34999102,Administrative / Office,39590
Atlantic Ave Storage Bldg,34999103,Administrative / Office,43002
53 Strachan Ave,34999100,Administrative / Office,49213
51 Lisgar,34999099,Administrative / Office,10053
275 Merton St,34999096,Administrative / Office,66747
2800 Keele,34999097,Administrative / Office,1
Old City Hall,34999126,Administrative / Office,350494
Property Dept Workshop,34999127,Administrative / Office,39170
